TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260818,130519,"6316      ",ATM50K,"Z1Y8      ",47007,0000000800164118500,9270000000,0,9270000000,36500000000,0,36500000000
1260818,111435,"4417      ",ATM50K,"Z351      ",47007,0000000800164118500,3195000000,0,3195000000,40000000000,0,40000000000
1260818,120121,"ZZLC      ",CRM,"W36C      ",34037,0000000000000000000,5010000000,10700000000,15710000000,5000000000,10000000000,15000000000
1260818,91958,"H330      ",CRM,"W62D      ",31504,0000000000000000000,4400000000,8190000000,12590000000,2000000000,4000000000,6000000000
1260818,170915,"4026      ",ATM50K,"Z1K2      ",47007,0000000800164118500,8535000000,0,8535000000,36000000000,0,36000000000
1260818,124958,"4797      ",ATM100K,"Z3EN      ",47007,0000000800034997200,0,3710000000,3710000000,0,30000000000,30000000000
1260818,104211,"8092      ",ATM50K,"Z2IC      ",30,0000000000000000000,4660000000,0,4660000000,10000000000,0,10000000000
1260818,92403,"ZZOF      ",CRM,"W39F      ",12007,0000000000000000000,4785000000,10360000000,15145000000,5000000000,10000000000,15000000000
1260818,82601,"8247      ",ATM50K,"Z2M7      ",34010,0000000000000000000,11140000000,0,11140000000,0,0,0
1260818,152938,"ZZFF      ",CRM,"W29F      ",31004,0000000000000000000,4745000000,14230000000,18975000000,3000000000,6000000000,9000000000
1260818,130246,"ZZ6M      ",CRM,"W12M      ",47007,0000000800184550900,0,0,0,0,0,0
1260818,100827,"8569      ",ATM100K,"Z2R2      ",34000,0000000000000000000,0,9810000000,9810000000,0,20000000000,20000000000
1260818,90724,"3950      ",ATM50K,"Z1I8      ",47007,0000000800034997200,4465000000,0,4465000000,19000000000,0,19000000000
1260818,83251,"A512      ",ATM100K,"Z6OX      ",34057,0000000000000000000,0,32330000000,32330000000,0,20000000000,20000000000
1260818,142521,"ZZR4      ",CRM,"W20R      ",24022,0000000000000000000,4190000000,11710000000,15900000000,2000000000,4000000000,6000000000
1260818,102341,"ZZPZ      ",CRM,"W40Z      ",6,0000000000000000000,1855000000,750000000,2605000000,3000000000,3000000000,6000000000
1260818,93550,"ZZV4      ",CRM,"W20V      ",44006,0000000000000000000,4250000000,8160000000,12410000000,2000000000,2000000000,4000000000
1260818,100527,"B236      ",ATM100K,"Z7LP      ",43505,0000000000000000000,0,10050000000,10050000000,0,30000000000,30000000000
1260818,152209,"H131      ",CRM,"W53M      ",23048,0000000000000000000,7155000000,6990000000,14145000000,10000000000,15000000000,25000000000
1260818,153501,"1293      ",ATM100K,"Z07N      ",27519,0000000000000000000,0,14930000000,14930000000,0,16000000000,16000000000
1260818,93914,"1892      ",ATM50K,"Z0M4      ",34035,0000000000000000000,11580000000,0,11580000000,10000000000,0,10000000000
1260818,141325,"ZZ5E      ",CRM,"W11E      ",47007,0000000800164118500,5125000000,30220000000,35345000000,5000000000,10000000000,15000000000
1260818,152901,"B253      ",ATM50K,"Z7JS      ",47007,0000000800181276100,4465000000,0,4465000000,30000000000,0,30000000000
1260818,110735,"A569      ",ATM50K,"Z6QI      ",47007,0000000800164118500,25785000000,0,25785000000,40000000000,0,0
1260818,124105,"ZZEI      ",CRM,"W27I      ",31500,0000000000000000000,3315000000,5290000000,8605000000,2000000000,4000000000,6000000000
1260818,104005,"H090      ",CRM,"W51W      ",4008,0000000000000000000,3025000000,1600000000,4625000000,5000000000,10000000000,15000000000
1260818,94935,"ZZI4      ",CRM,"W20I      ",34073,0000000000000000000,2290000000,17070000000,19360000000,5000000000,10000000000,15000000000
1260818,90135,"H396      ",CRM,"W64R      ",39086,0000000000000000000,2965000000,4130000000,7095000000,5000000000,5000000000,10000000000
1260818,82833,"1525      ",ATM100K,"Z0DK      ",39026,0000000000000000000,0,19100000000,19100000000,0,10000000000,10000000000
1260818,160209,"H223      ",CRM,"W58A      ",29037,0000000000000000000,5970000000,12890000000,18860000000,5000000000,15000000000,20000000000
1260818,135015,"ZZKM      ",CRM,"W35M      ",27523,0000000000000000000,9435000000,12110000000,21545000000,2000000000,6000000000,8000000000
1260818,152328,"H141      ",CRM,"W54W      ",34073,0000000000000000000,4760000000,8490000000,13250000000,5000000000,10000000000,15000000000
1260818,140924,"6086      ",ATM50K,"Z1SM      ",47007,0000000800166213800,11830000000,0,11830000000,40000000000,0,40000000000
1260818,113326,"ZZ1H      ",CRM,"W04H      ",47007,0000000800164118500,1150000000,4350000000,5500000000,14000000000,17000000000,31000000000
